block_number,parcel_num,money,appraisal_date
17,2,6600,6/15/1968
48,19,250,6/15/1968
53,16,4500,6/15/1968
6,72,6200,7/6/1968
76,7,3250,7/6/1968
28,20,3900,7/6/1968
3,8,2350,7/6/1968
50,5,2500,7/6/1968
40,18,45000,7/6/1968
6,78,7800,7/6/1968
1,20,3500,7/6/1968
56,19,6000,7/6/1968
11,9,350,7/6/1968
55,10,8500,7/6/1968
48,6,3500,7/6/1968
55,40,6500,7/6/1968
1,45,1500,7/6/1968
11,19,140,7/6/1968
6,63,6500,7/6/1968
17,13,5000,7/6/1968
43,9,10500,7/6/1968
34,14,7200,7/6/1968
28,8B,6000,7/6/1968
34,13,3900,7/6/1968
28,22,5100,7/20/1968
17,15,4400,7/20/1968
44,6,2500,7/20/1968
42,5,5000,7/20/1968
55,4,-,7/20/1968
33,5,11585,7/20/1968
6,6,14700,7/20/1968
6,69,9300,7/20/1968
4,15,9800,7/20/1968
71,23,3500,7/20/1968
60,9,450,7/20/1968
43,33A,5300,7/20/1968
1,14,4500,7/20/1968
4,26,7600,7/20/1968
59,7,8500,7/20/1968
3,18,13500,6/12/1974
25,7,175,6/12/1974
47,8,7500,6/12/1974
17,19,13250,6/12/1974
1,40,500,6/12/1974
48,5,38900,6/12/1974
6,5,44000,6/12/1974
55,5,750,6/12/1974
6,39,1800,6/12/1974
55,33,4000,6/12/1974
11,30,5300,6/12/1974
36,6,1000,6/12/1974
15,2,14500,6/12/1974
45,18,2100,6/12/1974
17,12,6900,6/12/1974
57,5,6800,6/12/1974
1,49,5700,6/12/1974
28,19,3700,6/12/1974
71,13,1950,6/12/1974
72,4,6750,6/12/1974
36,3B,3000,6/12/1974
1,30,1700,8/9/1974
28,10,2500,8/9/1974
5,16,5450,8/9/1974
47,20,11150,8/9/1974
60,6,8500,8/9/1974
59,5,5500,8/9/1974
30,8,9500,8/9/1974
15,16,8500,8/9/1974
1,3,15000,8/9/1974
6,25,1325,8/9/1974
1,12,21500,8/9/1974
48,15,3500,8/9/1974
43,33B,5000,8/9/1974
76,8,7000,8/9/1974
1,15,1750,9/5/1974
47,27,250,9/5/1974
56,2,10500,9/5/1974
14,15,1500,9/5/1974
27,9,1400,8/9/1974
34,16,1350,8/9/1974
10,18,150,8/9/1974
32,14,42000,8/9/1974
10,14,3350,8/9/1974
60,11,450,12/12/1968
33,7,250,12/12/1968
71,31,800,12/12/1968
71,7,2350,12/12/1968
31,22,13000,12/12/1968
71,12,6000,12/12/1968
16,4,8000,12/12/1968
16,1,6350,12/12/1968
76,3,700,12/12/1968
57,3,6000,12/12/1968
31,23,5650,12/12/1968
27,24B,3800,12/12/1968
44,23,2900,12/12/1968
16,6,11000,12/12/1968
47,3,6000,12/12/1968
3,14,4000,12/12/1968
11,2,47000,12/12/1968
39,11,8300,2/27/1970
41,12,7200,2/27/1970
6,17,2750,2/27/1970
27,15,6500,2/27/1970
16,2,6000,2/27/1970
16,10,3600,2/27/1970
72,10,6500,10/10/1974
44,1,8000,10/10/1974
16,13,10000,10/10/1974
5,6,4600,10/10/1974
71,27,1500,10/10/1974
48,16,2750,10/10/1974
37,2,5650,10/10/1974
17,35,10000,8/20/1968
55,38,575,8/20/1968
6,1,19650,8/20/1968
47,9,15000,8/20/1968
10,17,2700,8/20/1968
40,19,6800,8/20/1968
1,22,4000,8/20/1968
46,10,575,8/20/1968
10,12,1675,8/20/1968
48,10,31000,8/20/1968
11,26,300,8/20/1968
43,26,12500,8/9/1974
15,7,10850,8/9/1974
53,5,1275,8/9/1974
47,26,5500,8/9/1974
45,3,5500,8/9/1974
45,22,3000,1/29/1975
39,17,16500,1/29/1975
10,4,5500,1/29/1975
59,17,100,1/29/1975
59,8,6200,1/29/1975
49,10,3550,1/29/1975
71,6,3300,8/7/1968
52,10,2000,8/7/1968
10,13,500,8/7/1968
1,34,2000,8/7/1968
19,23,9500,8/7/1968
48,7,3525,8/7/1968
15,19,3450,8/7/1968
76,9,2000,8/7/1968
44,11,6500,8/7/1968
30,19,5900,8/7/1968
42,14,8750,8/7/1968
28,1,8500,8/7/1968
17,28,5250,8/7/1968
