block_number,parcel_num,money,year_appraisal
72,9,23000,
71,26,3850,
48,22,5700,
55,25,500,
32,16,7500,
4,17,44000,
27,29,8600,
17,31,10000,
4,24,10500,
43,5,5250,
11,17,225,
2,2,48150,
38,6,6000,
46,5,6500,
16,15,4650,
47,7,33500,
11,7,750,
6,75,200,
32,15,7100,
50,1,4250,
55,19,6700,
6,15,1075,
1,51,11000,
4,23,8750,
6,40,7500,
53,11,700,
30,18,12000,
37,9,1150,
45,29,8050,
27,26,2500,
5,18,6200,
5,17,7250,
44,13,2500,
55,21,4500,
10,15,400,
35,1,40140,
11,36,700,
49,13,1550,
44,15,2450,
31,32,7000,
55,51,550,
40,10,6600,
27,24A,8000,
40,11,8600,
55,49,3000,
55,43,3500,
50,9,6000,
34,1,3500,
50,6,1500,
55,16,3500,
40,21,14500,
36,8,1000,
30,25,1300,
40,5,-,
71,2,5000,
6,66,125,
47,6,1980,
58,6,6000,
43,30,7500,
49,8,700,
60,10,300,
45,24,5800,
34,11,850,
60,4,4500,
57,13,750,
15,18,250,
52,3,4000,
29,13,5800,
4,14,4150,
53,15B,2258.07,
37,7,5200,
11,37,2000,
50,20,5000,
35,8,1500,
59,13B,700,
28,11,16000,
5,23,3500,
40,27,1750,
11,41,450,
10,16,150,
5,22,3500,
17,6,11000,
27,27,1800,
45,33,4000,
44,4,3500,
28,13,7850,
55,41,8400,
2,1,49300,
44,22,2900,
40,26,14000,
3,22,4400,
3,23,7800,
48,23,500,
18,5,4500,
1,4,46000,
31,20,5500,
1,39,3000,
16,9,6500,
1,18,4300,
45,20,1100,
6,58,14500,
11,3,994,
6,77,11000,
45,17,2500,
55,20,6500,
47,25,7500,
17,33,6500,
17,14,75,
57,11,4800,
44,18,2900,
55,22,3000,
29,25,7500,
34,2,4500,
30,39A,-,
48,4,3000,
48,28,3750,
33,11,6000,
11,35,1000,
28,15,6500,
6,57,800,
11,8,5000,
35,7,3300,
16,16,10800,
40,15,5125,
29,12,10500,
17,29,6000,
14,14,1500,
6,7,9000,
27,2,700,
71,10,2650,
44,12,3000,
71,4,1800,
71,25,450,
71,11,4000,
59,13A,4700,
6,68,6250,
14,13,1200,
44,5,40250,
1,16,2250,
32,6,1150,
55,15,11600,
1,6,40000,
11,18,150,
28,12,5500,
4,5,6700,
27,10,2000,
55,1,5000,
40,28,6000,
15,12,5000,
36,7,3750,
3,6,7650,
3,10,4500,
11,42,1050,
1,38,6500,
39,15A,7000,
46,2,76000,
39,16,5500,
1,50,17000,
6,79,10150,
5,21,4800,
45,10,4000,
50,7,3000,
60,3,1550,
57,12,8000,
44,16,3500,
49,5,5000,
3,9,9000,
47,4,4670,
55,27,800,
4,1,8700,
59,2,4800,
27,22,4000,
55,3,-,
35,3,500,
4,2,7600,
6,42,8700,
1,33,2250,
42,13,8000,
16,5,7000,
49,2,750,
48,1,7000,
55,35,3800,
11,15,2000,
6,38,17000,
1,36,6500,
28,4,6150,
43,23,-,
41,8,5000,
45,27,6400,
46,13,6500,
72,7,1700,
44,9,5000,
44,2,3750,
34,6,1350,
55,37,3000,
1,37,600,
37,8,6500,
15,14,6200,
28,18,9700,
6,60,4000,
71,32,800,
71,24,7500,
11,6,400,
45,26,750,
1,17,4000,
17,17,10500,
34,5,6000,
47,13,7245,
6,37,8200,
46,12,8500,
6,4,11000,
40,16,14500,
47,17,7750,
27,6,6800,
4,22,11300,
34,9,800,
31,21,8300,
44,7,10000,
27,25,4700,
45,28,2800,
55,14,4600,
43,12,10500,
40,23,33000,
16,17,13000,
53,3,1161.24,
11,40,300,
59,12,500,
30,24,500,
37,11,2400,
71,18,9400,
17,23,6000,
47,19,5900,
3,3,6600,
5,27,7000,
55,26,6000,
43,15,1000,
60,7,6300,
61,16,1250,
43,17,5500,
46,18,6600,
6,52,5500,
14,16,650,
46,4,5600,
11,28,2500,
46,3,1160,
50,17,400,
55,46,3000,
5,13,4800,
27,7,5500,
16,8,7000,
43,10,6250,
57,14,5000,
55,7,350,
5,24,5300,
45,31,3750,
49,15,167000,
72,5,10000,
47,22,7500,
36,1,5625,
11,45,3000,
59,14,5000,
16,3,6500,
49,17,300,
5,26,6000,
1,5,8000,
44,3,7000,
47,2,2500,
3,7,3000,
1,24,8000,
29,21,5350,
43,24,11750,
44,20,2900,
5,5,9300,
52,5,4000,
57,1,-,
55,18,6500,
17,1,5800,
1,13,9950,
52,7,4000,
17,5,4000,
71,19,3025,
